,SummonerID,Summoner_Name,Wins,Losses,League_Points,Account_ID
293,OduiNGqY-PEJXD74vvikBJlHH3Gq5rHIOt06vAuEPBtUZfA,HighKeySavage,182,176,38,U5ZTn2gaO81jfbkTblaba3V71ohnIwe-jaVLdnnK0Srrmg
294,Ol79IQHPlX0JcPNIE4c610x89L6fK_KzS8u--cVMeJShi9s,Nugeek,62,58,43,H4DrFnb6gcKn-pYJm7K6Lmw_le31WevhhLcgjwHph82NFaI
295,OuhApNnHGw19-SbhGl_b1aWtoarkfvqBzaCh0VIR6RE_,Cornflake,57,39,16,932aMe77aFzdIgQf8gG7reTHbQ7jGvbtokL7XFtSgHluCe0
296,PB4ZmVDgLp-efMmFaF5sVR_7ajCiRJn7wYsHcSdzAN_pXPs,Suzy the cutie,44,31,72,9_lz3KCSi8e1y3qlksozX53ba5DDfKpgWRXxOPK5Mxm2Zng
297,PDDfgkLOdW7eN7_H1fMa2ozo1zzQAGZqIkPRc5YkV9vRNJQ,luggindy,150,132,31,Hevjh50TAYRu_W7_N12IQN85LPj0eqLhPJWa5KWrJrRnYw
298,PQd0v8yhcoimLHGoUiLWVvS_Hmp0ldaKT2KOM91bMLzpSX4,Loyal,159,129,16,mdcOiRIegSubcZ8T5jjAP7EQC5GbOuxyp9nZhIdjPnUPdqE
299,PRA4jxL0_rFoIx2k0cXKtV56Dy2yQ5J50TsN748gOnK-hvs,Sílent,42,26,97,ORJHCtoe9HhJTAC-n1GOZ5BXI6_X-9nqajWneI3g230xBw
300,PgZXPSJ1cmKPcRmuOcJcBvHDOTUkke6YU4PjZAuwX-k6iUg,komodordragon,240,222,156,ZrqT67vY4gbiPAghW5seVc9-D4gPXcynoYiTq9h8bzWLylM
301,PiccDJoXmwRwgTR3CyYVi1RMaGTkeQcfaiFErsMbqLJOMFA,WayOfTheTempést,168,117,124,fLnxP9pX61qrtiNZYF36tYwBOTlRY4a_fNihWNPb_fv3gtw
302,PoWw8qtJBOXXXP1ijdE7d_Fx3TmEHTDeFVH7FzZxMGmheiI,Sandwitch,92,77,55,MVo-Cf8NU0VFkYS5fNPdEzYfyB0Mt6u9KTczt17wO4Tsux8
303,PrWHjUDAZTMqjaF56j5yIbQjeAr5BI0-gkrAYrpfyAMm2FY,Ru Ci Bái,257,244,65,c1NZsnT7llAY_FgVN9tib0xdlA4BDBZYJvEB9swluy0JmHY
304,PsqRSlnrjHYGPC1f_CzWRYkRlKYdP5gwV0rZWzmepxC9,Pixeldrum,94,82,15,cCnphqhcOmX2a68BLQsXlmOkeLK0GmwHxZf16yxYAJO5NA
